index,pc1,pc2,T
index1143,-0.7365152032742164,-0.43576221674562327,1
index1144,1.2007734782657071,0.868020325853121,1
index1145,-0.8474873001841109,0.4111012447096293,1
index1146,0.6714934857877138,-1.1049878157123416,1
index1147,-1.0201269106767659,-0.7832153444924715,1
index1148,1.3916970321123978,1.086857056987776,1
index1149,0.5063069327521756,0.28003231014438906,1
index115,-0.8948195565253548,1.1733324866598833,1
index1150,-1.192083583265022,0.005090235099255758,1
index1151,-1.2376759905021792,-0.46096062016211364,1
index1152,1.282194503573558,1.556360550347354,1
index1153,-1.132945081514115,0.15576689363682727,1
index1154,0.3410062276695049,1.1366825411848898,1
index1155,-1.2734033650015852,-1.5602662976797022,1
index1156,-0.6117602749299497,1.3908518775291847,1
index1157,1.2733427056716815,-0.5349241945772291,1
index1158,0.6097764984036759,1.083138698729923,1
index1159,1.359098008280852,-0.8479129260909888,1
index116,1.2168302645546736,-1.243039051550577,1
index1160,0.911829945390839,1.3996769655086636,1
index1161,-1.2534549323680553,-0.14451868968033027,1
index1162,1.13823081898431,-0.6785293691387451,1
index1163,0.6020404922403744,-1.4040254579732356,1
index1164,0.9835319624498069,-0.5415600642121213,1
index1165,-0.9721432669649779,-0.054295550580530476,1
index1166,-0.023656883481661232,1.9464274925182468,1
index1167,0.2818943307487366,-0.6613131285948426,1
index1168,-0.07506288003142335,0.49715362233839505,1
index1169,-0.4772258857951986,0.5582702159900098,1
index117,1.0993970300553286,-0.5707918198266726,1
index1170,-0.08764175960194999,-0.34817829710794995,1
index1171,-1.255487597575592,-1.5756822877824461,1
index1172,0.41273351174883605,-1.2931402217995491,1
index1173,1.1163934186929307,-0.724121585020162,1
index1174,1.3178304653295587,-0.21477495008989375,1
index1175,1.3629852431783278,-1.3420948244351263,1
index1176,0.28057525605682215,-0.3941109372568511,1
index1177,1.2682450869188304,0.07935559400181093,1
index1178,0.5171235472279192,0.9414605120168195,1
index1179,-1.261096717753027,-0.6038489964928689,1
index118,-1.267516114879671,0.11117531182382111,1
index1180,-1.075791826040877,-0.9836186982362327,1
index1181,1.0766023243080467,0.8628650669493563,1
index1182,-1.0672435542410799,0.35238165570278385,1
index1183,0.7041370230988593,0.22260895723953147,1
index1184,0.013181961540169226,2.7017701840625095,1
index1185,-1.1713527384034144,-0.28238512859642745,1
index1186,0.7795448733857151,0.6747328020654084,1
index1187,-0.834142606129966,0.7868477788040492,1
index1188,-0.7170155199261199,2.1895557598375723,1
index1189,0.8755289357645754,0.7651048887449013,1
index119,-0.807671458227552,0.5437140495682842,1
index1190,-0.7764032999405608,1.1970690726486022,1
index1191,0.5423419970726643,-0.7628672120269447,1
index1192,-1.0204611263871957,1.1485190212308147,1
index1193,1.1412104859954926,0.5551671123166649,1
index1194,-1.26841610471427,-0.8017278603815822,1
index1195,-1.036458085896917,-0.5543563182984648,1
index1196,-0.5109520473540435,-0.4739657404716361,1
index1197,-1.2436517469838344,-0.8599630922887699,1
index1198,0.8752197965955317,1.1138523718855975,1
index1199,-0.7114650082464301,2.2010008332459527,1
index12,1.138709072651357,0.2240007351497543,1
index120,1.2135845211576815,1.6779082063628437,1
index1200,0.43807294505319067,-0.7529439707427543,1
index1201,0.5315753753099092,-0.1225313021070851,1
index1202,-0.9114924955283045,2.496030934447704,1
index1203,1.1746223096881192,0.38337888556967015,1
index1204,-1.2232448305651673,-0.24128559279835046,1
index1205,0.6787283231706484,-0.2561974987145509,1
index1206,1.1019328938298423,-1.164079532972344,1
index1207,-1.2932187226272114,0.1809770340742473,1
index1208,1.2653651475901257,0.7367473212805881,1
index1209,0.37296611070702484,-0.03675211148902684,1
index121,1.297537332376474,-0.25268347118838785,1
index1210,-1.3018396310825617,-0.4627224080674471,1
index1211,1.2353381286453222,-1.9666037807559045,1
index1212,-1.243414223411715,-1.1753855290059245,1
index1213,-0.6186349901746809,2.3210167299303417,1
index1214,1.0168486312217475,-1.9157865171872421,1
index1215,-1.1479252355037572,0.08388702621223132,1
index1216,-1.1850623688135022,-0.02710618982501058,1
index1217,1.123306749552547,-1.0586475189173197,1
index1218,-1.1884704359888378,0.48760649251249205,1
index1219,0.7734949696626057,-0.7021494806971313,1
index122,-0.15139444579007644,1.2381296959384405,1
index1220,-0.08263072026565675,-0.2548258881559925,1
index1221,-1.2102964995806877,-1.1812447723770318,1
index1222,-1.1391854312670104,-0.6981760335035949,1
index1223,-0.44932822307229386,0.32691341603875806,1
index1224,-1.0209640820897978,-0.8148812027223148,1
index1225,1.0606741839626384,-1.6879037902460645,1
index1226,-1.1505227411284713,-0.8024866170878743,1
index1227,1.1328381447872706,-0.4723426462792135,1
index1228,-0.8569819716218721,0.14711876582033337,1
index1229,1.0972816606484874,-1.6220402626731676,1
index123,-0.24964672455297793,2.715336901219362,1
index1230,1.0638539204524973,-1.8263480683416333,1
index1231,1.3088621242429923,-1.3212767988698086,1
index1232,1.2727317276138432,-0.6435117490373118,1
index1233,-1.1478883196174863,-0.30360370206514437,1
index1234,1.1611082624781681,-0.3186325242664091,1
index1235,-1.3017567588276244,-0.33094953753305467,1
index1236,0.9504702406998077,-0.5270423612624093,1
index1237,-0.21141261459357352,-0.048193288855427875,1
index1238,0.993852230546784,0.14170647431659186,1
index1239,-1.2267818236410684,-0.45892726435473974,1
index124,1.4215273748830017,1.2756676173255042,1
index1240,0.41947633201046425,1.3134762983296329,1
index1241,-1.2755612495219955,-1.5526503639448572,1
index1242,-0.03045706116076841,2.571024247838946,1
index1243,0.7980502033607655,2.088807987264949,1
index1244,0.9590450114377655,-0.42095144694019904,1
index1245,0.08756422972932129,0.2806013660749955,1
index1246,-1.2192727067365916,0.0726809949958681,1
index1247,-1.016470603454843,-0.4853866200733978,1
index1248,-0.6229809453335803,1.6651157608230296,1
index1249,-1.289750289044719,-0.5538656367556148,1
index125,-0.9048297897994457,0.26443686337494415,1
index1250,-1.2503108621694248,0.027845933591745583,1
index1251,1.1684660736580526,-0.6821125309437801,1
index1252,-1.1066183470620627,0.09798720933600162,1
index1253,-1.1996623928296581,-1.1340076790671678,1
index1254,-1.1909474459342368,-1.0300416151942116,1
