index,potential,temperature,ib0,ib1
index101_20,-141677.23236083984,310.7167228011396,-3.387319955052998,-0.5285035655527062
index101_21,-141868.35665893555,309.7849310623004,-3.3905838719318497,-0.5320231881542087
index101_22,-141857.37580871582,306.3140386201707,-3.3990696946068417,-0.5776735537212522
index101_23,-141927.32054138184,313.7596727343594,-3.360484629519812,-0.5635545108570165
index101_24,-141951.6035003662,309.4895377825089,-3.428154919905953,-0.576897584711791
index101_25,-141713.3251953125,315.7078035380692,-3.4329869453464985,-0.576213771996205
index101_26,-142134.51684570312,309.6350347302725,-3.3968510726336127,-0.5928257290632418
index101_27,-141918.84714508057,312.1909120857384,-3.397809875216975,-0.5972345715981513
index101_28,-142033.6033935547,307.81244934045435,-3.36557650056864,-0.5810959980590845
index101_29,-141915.24081420898,308.48784694947534,-3.363517226168011,-0.6043742537848887
index101_3,-141866.09506225586,310.5261853829799,-3.369335246069268,-0.593377902719185
index101_30,-141885.33071899414,309.564456981699,-3.4161746926938115,-0.5818140630334715
index101_31,-141708.45071411133,311.27598774487717,-3.388179335887621,-0.5778774759298155
index101_32,-141739.90379333496,312.3408412254262,-3.3924740876656285,-0.6117289317307276
index101_33,-141960.75395202637,302.666412831759,-3.442774835520747,-0.6166225193291324
index101_34,-141824.81539154053,310.8173372145924,-3.4383015250891895,-0.6147721231175071
index101_35,-141948.21089172363,303.79189321849,-3.437978783681919,-0.6053682627443724
index101_36,-141677.333152771,304.5112230232418,-3.4047415800740537,-0.5877709354436329
index101_37,-141954.96630859375,306.57013158919864,-3.4073571222868786,-0.6017850678339524
index101_38,-141929.69564056396,310.5896847582751,-3.424425483625347,-0.6154330399707608
index101_39,-142341.48984527588,304.05507881333057,-3.4244433444641977,-0.5949362278308644
index101_4,-141964.4740447998,313.2900111529934,-3.40460987269199,-0.5614682825690709
index101_40,-141955.06594848633,308.16289773119723,-3.4389098508073737,-0.6188703860348459
index101_41,-141967.90147399902,307.5220236689083,-3.407023269836746,-0.5917203415202831
index101_42,-142137.2239303589,309.5923696116433,-3.436709399554425,-0.6176342274830675
index101_43,-141992.91091156006,301.758969691733,-3.423768939638993,-0.5957599751348241
index101_44,-141945.96863555908,305.3135509414542,-3.442352185689655,-0.6124391021206718
index101_45,-142154.5500946045,314.38261260297674,-3.4209930463408815,-0.5837485527613123
index101_46,-141813.23223876953,305.54080154927254,-3.3574268726300462,-0.5758827887384714
index101_47,-142041.1354522705,308.0715342447072,-3.3748042056089176,-0.5750684108070626
index101_48,-142056.48350524902,314.0249746801977,-3.409669969847711,-0.6096327542503774
index101_49,-142256.82191467285,305.1343719074277,-3.3887569012314183,-0.5952198790196906
index101_5,-141682.7769165039,303.32550866688484,-3.3213092455743993,-0.597413873389073
index101_50,-141623.5408782959,316.9757098506649,-3.434079725459583,-0.6244876468982417
index101_51,-141996.77798461914,317.7916508359889,-3.4206860229286993,-0.6049044647409096
index101_52,-141879.59670257568,311.69550309686883,-3.415545027337773,-0.6055452104246973
index101_53,-141984.14209747314,312.21729242641527,-3.4070303283772034,-0.6233577569653432
index101_54,-141896.36856079102,302.82506568000986,-3.449881074506271,-0.6557630355304704
index101_55,-142091.71342468262,310.1412749207244,-3.4362416004596468,-0.6401674713324846
index101_56,-141953.3606262207,307.85086718880945,-3.423072643503823,-0.6020861683502942
index101_57,-141796.68869018555,304.6156933722048,-3.4167142226447123,-0.6169298140277935
index101_58,-141751.98791503906,303.26004221130506,-3.3805032264817805,-0.603010022903586
index101_59,-141981.78859710693,294.95735177525086,-3.399075718299971,-0.6152985977345955
index101_6,-141764.14025878906,308.23039721044626,-3.3384044451417565,-0.586738376862224
index101_60,-142004.67903137207,305.886480795363,-3.4042312035576545,-0.6310038918453854
index101_61,-141868.35203552246,307.76061220025036,-3.401216805943042,-0.6201761153405259
index101_62,-142045.87828063965,311.0570156671439,-3.4191996906348483,-0.6186007167042087
index101_63,-141887.52836608887,315.0774348287877,-3.431212867815121,-0.626602564396602
index101_64,-142033.60244750977,309.9788232029949,-3.362718954459793,-0.589089245372921
index101_65,-142039.76267242432,310.6281415349112,-3.3893129203002976,-0.6230245147417689
index101_66,-141918.73779296875,307.3564334643117,-3.3722217180299925,-0.618809979228075
index101_67,-142089.44148254395,309.68741971384185,-3.396424556108508,-0.6111715296218739
index101_68,-142107.62268066406,305.4459916081312,-3.391590579178673,-0.6147922301433335
index101_69,-141918.50883483887,305.9173815440808,-3.422665698551567,-0.6313445362613905
index101_7,-141855.01168823242,315.43008379694453,-3.3855179110796656,-0.6119955155079997
index101_70,-142051.58666992188,310.1844786941458,-3.4409808648225084,-0.64710469420985
index101_71,-141773.904586792,309.9737731045218,-3.420408632186897,-0.6176022396807463
index101_72,-141640.17903900146,306.94080978423267,-3.3970813398378596,-0.5807837623327454
index101_73,-141929.75703430176,303.50622993313186,-3.412345575334514,-0.6167899430425005
index101_74,-141910.8907775879,308.3694297577626,-3.4411212922605006,-0.6212428974433353
index101_75,-141971.77555084229,301.442820045939,-3.384359622295403,-0.6135537653011502
index101_76,-141828.82272338867,304.2368268273432,-3.4330315356238716,-0.6622272705297997
index101_77,-142128.74531555176,303.9602898786736,-3.392251289255722,-0.6415440244521441
index101_78,-141979.52145385742,310.3252344556667,-3.353777643323456,-0.6069969720194541
index101_79,-141888.895362854,301.75491369692435,-3.4063412907617208,-0.6366592994787501
index101_8,-141830.31224822998,306.4756894699882,-3.3564376864358723,-0.5870858601037617
index101_80,-142117.20643615723,294.03381988629116,-3.412715076742287,-0.6605171441010286
index101_81,-142078.0107269287,306.4573173358945,-3.373718728704857,-0.6449359672938502
index101_82,-141988.78871154785,300.3468970539965,-3.4244018854179554,-0.6611548254308184
index101_83,-141899.14247131348,306.28280203763626,-3.411426825314278,-0.6282756108554166
index101_84,-141974.50833129883,306.6145713321457,-3.374800155517132,-0.6526778693716135
index101_85,-141859.91331481934,310.2194262816239,-3.4201268107535916,-0.634213822054386
index101_86,-142071.9903564453,312.35716887287015,-3.411804710637585,-0.6582366987142513
index101_87,-142158.82168579102,305.0980241876331,-3.4131344910405663,-0.6831024530250568
index101_88,-142017.27074432373,308.66715395090915,-3.364776468268454,-0.6473659639184877
index101_89,-142049.710395813,310.5489238642992,-3.407697953980688,-0.6343706167300214
index101_9,-141800.72496795654,305.5977304365901,-3.367017716786647,-0.5900122725995374
index101_90,-142377.48641967773,299.45838751729343,-3.393016573606509,-0.6309945003903414
index101_91,-142050.78239440918,304.56890077487736,-3.3893739923153854,-0.6449185593641732
index101_92,-142315.56204223633,305.3438976500368,-3.4021466025764733,-0.6344591229737335
index101_93,-141796.03839874268,306.5112377105875,-3.370655505781605,-0.626348127966909
index101_94,-142280.09120178223,307.8381352144702,-3.415182049204089,-0.638053362428985
index101_95,-142238.1275024414,307.0246213427786,-3.4040404968898086,-0.6596375184556929
index101_96,-142220.68989562988,306.12730164178674,-3.3698133669236277,-0.6661715214851258
index101_97,-142146.31420898438,311.91516305400927,-3.378288011304062,-0.6432611816666326
index101_98,-142007.49165344238,307.33433625738576,-3.386334147059782,-0.6283714579623417
index101_99,-142062.57180786133,303.7216594655556,-3.421730881008115,-0.6258610880039965
index102_0,-141615.67597961426,315.09639820931193,0.5765678593269974,2.4703164633914585
index102_1,-141723.72576904297,306.26590391179917,0.5786647896645696,2.385270444764018
index102_10,-141466.62352752686,308.1007119965027,0.6581565504591605,2.30048194915525
index102_11,-141645.4243774414,311.996643897743,0.6629607209458316,2.2896173509105555
index102_12,-141959.6756591797,302.4853220460934,0.6595745847039957,2.344903622828246
index102_13,-142001.71031951904,311.9892319944736,0.6437489903143625,2.3193961069752045
index102_14,-141994.72411346436,301.5136703286081,0.704420216654907,2.357300494908334
index102_15,-141989.3943939209,305.3247357783047,0.6508465679596014,2.277275713208624
index102_16,-141740.50521850586,308.30684615336725,0.6238206980432658,2.37685786774706
index102_17,-141701.59051513672,309.8520777660429,0.5924473778281815,2.2542562451335852
index102_18,-142013.61694335938,306.52837797480913,0.5458923339155651,2.2298711773382096
index102_19,-141706.28297424316,312.90316080154315,0.554692586409256,2.1802644012150934
index102_2,-141777.23193359375,305.00912910473284,0.5265382203402622,2.4293125016971917
index102_20,-141956.1813659668,302.99546729235215,0.6131399515215927,2.3166973893780054
index102_21,-142079.44075012207,304.95406728672526,0.5885800714358158,2.274301061674364
index102_22,-142018.82124328613,307.9310499217813,0.5755083311971583,2.2660959551859596
index102_23,-141878.20988464355,308.1850572366051,0.5690138192021426,2.3023938793505883
index102_24,-142007.38117980957,305.0644319870583,0.5857974711490739,2.2433324392531775
index102_25,-141986.3542022705,308.0116298345524,0.560203203704126,2.2222401821957685
index102_26,-142164.76457214355,306.19349812190933,0.6246555898310399,2.319836008276854
index102_27,-142135.10006713867,304.85670804054837,0.5821952817782047,2.2575052106942413
index102_28,-142054.3404083252,306.1522623592611,0.5177993562511942,2.1642644078720807
index102_29,-141980.19255065918,301.8408949300699,0.5611317132534883,2.216350945712899
index102_3,-141967.9348602295,302.0205041616538,0.6060496119677656,2.284346123147245
index102_30,-142104.41568756104,308.1917637663525,0.6088769735084595,2.310058880870393
index102_31,-141944.61671447754,306.4582664806644,0.5752460613906651,2.26222664513582
index102_32,-141873.71366119385,310.96914511222525,0.5851454759331994,2.2031543011804575
index102_33,-141740.85668182373,308.00984918517224,0.5936406251160762,2.24502558287915
index102_34,-141996.08879089355,313.3345997534822,0.5710160687425715,2.229787280351112
index102_35,-142110.33406066895,307.7298355192353,0.5729782168653252,2.2285609798243584
index102_36,-141973.01802062988,307.58883795887357,0.5987831959247143,2.2856512945301612
index102_37,-142283.69687271118,304.49631096850885,0.6419543273575514,2.2134367009099694
index102_38,-141900.9627380371,302.0633830704328,0.6294672915530396,2.231935719307976
index102_39,-142046.83769989014,302.7843109273565,0.6727954354700008,2.3099258044023396
index102_4,-141524.35577392578,301.6573309853963,0.6774374434926751,2.3158757302025057
index102_40,-142170.934135437,310.66481635437964,0.5944703795344102,2.288810909053689
index102_41,-142047.24044799805,308.91425486506876,0.6280563930204286,2.2717645202160934
index102_42,-142087.34185791016,310.06588967751554,0.6027905460830179,2.2860722778882674
index102_43,-142108.27223205566,302.8257737119572,0.5675944686284083,2.197426343695104
